system,id,备注,url,风险等级,备注,
bamai,1,问题诊断-券查询,bamai.xiaojukeji.com/dataProxy/coupon/coupon/userType/phone,0,,
bamai,2,全场景还原-数据融合,bamai.xiaojukeji.com/dataProxy/reductions/scene/phone,3,,
bamai,3,用户分析-留存分析,bamai.xiaojukeji.com/dataProxy/userBehavior/remainAnalysis,3,,
bamai,4,司机生态接口-司机手机号维度-服务分,bamai.xiaojukeji.com/dataProxy/gs/ecologyV2/dPhone,3,,
bamai,5,号码保护-司机手机号维度,bamai.xiaojukeji.com/dataProxy/noProtect/dPhone,3,,
bamai,6,号码保护-乘客手机号维度,bamai.xiaojukeji.com/dataProxy/noProtect/pPhone,3,,
bamai,7,号码保护-订单号维度,bamai.xiaojukeji.com/dataProxy/noProtect/sid/oid,3,,
bamai,8,号码保护-订单号维度,bamai.xiaojukeji.com/dataProxy/noProtect/sid/midPhone,3,,
bamai,9,全场景还原-用户,bamai.xiaojukeji.com/dataProxy/reductions/endpointOperations,3,,
bamai,10,专快-站点拼车-乘客手机号维度,bamai.xiaojukeji.com/dataProxy/gs/travelInfo/pPhone,3,,
bamai,11,专快-站点拼车-司机手机号维度,bamai.xiaojukeji.com/dataProxy/gs/travelInfo/dPhone,3,,
bamai,12,,bamai.xiaojukeji.com/dataProxy/gs/duseAction,0,7.2 高频-付新新,
mis,13,司乘管理-司机管理-新司机列表-司机列表,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/getDriverList,3,,
mis,14,司乘管理-司机管理-新司机列表-司机详情,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/getDriverDetail,3,,
mis,15,司乘管理-司机管理-新司机列表-司机详情-账户流水,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/getTransByDriverId,3,交易对象有电话号,
mis,16,司乘管理-司机管理-新司机列表-司机详情-日志记录,mis.xiaojukeji.com/gulfstream/mis/kingslanding/common/kLog/getLogList,1,,
mis,17,司乘管理-司机管理-新司机列表-司机详情-图片信息,mis.xiaojukeji.com/gulfstream/mis/kingslanding/common/kUpload/getPicList,-1,,
mis,18,司乘管理-乘客管理-乘客列表,mis.xiaojukeji.com/gulfstream/mis/winterfell/passenger/newPassenger/getPassengerList,3,,
mis,19,司乘管理-乘客管理-乘客列表-乘客基本信息,mis.xiaojukeji.com/gulfstream/mis/winterfell/passenger/newPassenger/getPassengerInfo,3,,
mis,20,司乘管理-乘客管理-乘客列表-优惠券,mis.xiaojukeji.com/gulfstream/mis/winterfell/passenger/newPassenger/getCouponList,1,,
